No.,Part,Qty,Use,Cost in Rupees,Cost in Dollars,Buying Site
1,Black Matte Filament,1,Building,"₹1,451.00",$16.55,https://robu.in/product/esun-epla-gloss-1-75mm-3d-printing-filament-1kg/
2,Arduino Pro micro,1,PCB,₹438.00,$5.00,https://robu.in/product/pro-micro-5v-16m-mini-leonardo-micro-controller-development-board-for-arduino/?gad_source=1&gad_campaignid=17413441824&gbraid=0AAAAADvLFWdDpgFC4jfk-xt0btdfeJabc&gclid=Cj0KCQjwhafEBhCcARIsAEGZEKJyC6Nsg_ybsouCKDXHrCQawKjHGEeRKzzXNitfMx6ZKTSfPD2PqUsaAiepEALw_wcB
3,NRF24L01,2,Wireless transmitter,₹126.00,$1.44,https://robu.in/product/m177-nrf24l01-2-4ghz-antenna-wireless-transceiver-module/#tab-description
4,LM3940,1,PCB,₹700.00,$7.99,https://robu.in/product/lm3940-ic-1a-low-dropout-regulator-ic-for-5v-to-3-3v-conversion/#tab-questions
5,RGB LED Common anode,1,Motion Tracking,₹10.00,$0.11,https://robu.in/product/xl-b504rgbc-xinglight-plugind5mm-rgb-leds-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcJ4L0ZG-gIZr7qZqEuQ7Cxh&gclid=Cj0KCQjwnJfEBhCzARIsAIMtfKI2HJ_5guWovAxTAwjE9tES0mT1z-wXEUWGJ56P6wqp50sx2zxok4QaAv17EALw_wcB#tab-product_download_66939_tab
6,MPU9250 9 dof Gyro,1,Motion Tracking,₹429.00,$4.89,https://robu.in/product/mpu9250-9-axis-attitude-gyro-accelerator-magnetometer-sensor-module-2/?gad_source=1&gad_campaignid=20363337560&gbraid=0AAAAADvLFWfUt9ZqVVurl0s-oPEpk93Wc&gclid=Cj0KCQjwnJfEBhCzARIsAIMtfKIKu87lo-n9gqgu_wfzYftAFvFK6e2IVtOSsAT_F3YCJHCpw6AwtHYaAuvxEALw_wcB#tab-product_download_66939_tab
7,Dual LS029B3SX02 Displays,1,Display,"₹13,594.00",$155.10,https://www.alibaba.com/product-detail/LS029B3SX02-vr-head-mounted1440x1440-2K-120Hz_1600064437271.html?chatToken=TDFKeWNGRlpkWFZTWmtkNFRYRnZjVWxhVTBsU2RVcHNkRVpKVTJsMlRteERiM0ZyWlhrM2VHMXhZeTkwTVVSb2RIQnFRMGxKTmtONE9GSllWWFFyVG5WeFFscFVhSEY1YnpVd05tbGxVWFpCYVRWUFdISjZNRXQ0TkdkdlZIRlhXV295T0VKVVVXSTVVRzlXSzBwMFNXOW1NRUkyY25oTVIwZFdSVUUxT1RoUVowZzJSR0l3Y0ZoS016SlZaSHBOYXpoNU1XSXhWRE5LTVdsdlNsWmlWV1YxTnpjck9HWnVUMEZaUFE9PSZ2ZXJzaW9uPTIuMC4w&encryptTargetLoginId=8pctgRBMALOJDWt9qv%2B9TTfMDQuOgz5s6wdkfYSa%2Bs4%3D
8,Ping Pong Ball,1,Motion Tracking,₹123.00,$1.40,https://www.amazon.in/Advanced-Performance-Training-Tournaments-Recreational/dp/B0B36397WH/ref=sr_1_5?crid=3KNOGX03VSMHY&dib=eyJ2IjoiMSJ9.qsXyMMMKP3unDnNgEOkhPG1HiCgsqH9ZN-Jc28FBSlBIsA5EDYtrunr4MUHeSybNr7N-HgGB9cKOmgOtXG1dXWOExEwf5o-7vwuU1l_F2R3dwAqr-Z6RebxiEun_n9kTfOwIpCq_AH5B2mirNc5Nrt5qONgduDN20TP0XRXZpIeodqF0fvyXZRTycXZSQZ7vkmnSALYn1Al3QIlilKu1T7SVg9U3tOAUV_F4KipyNKqX73f507XSUAz4Hg6Zeskg2GahiRce6-PgFXN2yLt6CFCw8EGzM9aOwyvDLSouRRY.LDPqIXOGoTN5Y4qw4inw_pnn0vKtzqGDGEGSvdQPahY&dib_tag=se&keywords=stag+ping+pong+ball&nsdOptOutParam=true&qid=1753890856&sprefix=stag+ping+%2Caps%2C202&sr=8-5
9,Screws,Many types,Building,₹20.00,$0.23,onlyscrews.in
10,PCB,5(MOQ),PCB,₹800.00,$9.13,jlcpcb.com
11,Capacitors and resistors,Many types,PCB,₹140.00,$1.60,lcsc.com
12,HDMI to DP Adapter(Quite expensive cause its an active adapter made for gaming,1,Display,"₹6,583.00",$75.11,https://www.amazon.in/Cable-Matters%C2%AE-Plated-DisplayPort-Converter/dp/B00JQORLCG#averageCustomerReviewsAnchor
13,,,,₹0.00,$0.00,
14,,,,₹0.00,$0.00,
15,,,,₹0.00,$0.00,
16,,,,₹0.00,$0.00,
,TOTAL,,,"₹24,414.00",$278.54,
